이스트서식스_주	영국	country	이스트본은  << _obj_ >>   << _sbj_ >> 에 위치한 도시이다.
효고_현	일본	country	스마 해수욕장은  << _obj_ >>   << _sbj_ >>  고베 시 스마 구에 해수욕장이다.
지다	사우디아라비아	country	이 바이러스는 이집트의 바이러스학자 알리 모하메드 자키 박사가  << _obj_ >>   << _sbj_ >> 의 급성 폐렴 및 급성 신부전 증세를 보이는 60세 남성의 허파에서 채취된 표본에서 발견되었다.
안데스_산맥	볼리비아	country	  << _sbj_ >>  동쪽 지역의 아르헨티나 북부와  << _obj_ >>  남부 산기숡에서 발견된다.
주오_구_(고베_시)	일본	country	구 고베 항 신호소는  << _obj_ >>  효고 현 고베 시  << _sbj_ >> 의 다카하마 여객 터미널 남단에 있는 역사적인 건물이다.
앨라배마_주	미국	country	첼시는  << _obj_ >>   << _sbj_ >>  셸비 군 의 도시이다.
베이루트	레바논	country	제14회 아시아 남자 핸드볼 선수권 대회는 2010년 2월 6일부터 19일까지  << _obj_ >>   << _sbj_ >> 에서 열렸다.
페르디난드_마르코스	필리핀	country	 또한  << _obj_ >> 에서는 열렬한 반공주의자이며, 독재자인  << _sbj_ >>  대통령을 계속 지원했다.
하이데라바드_(인도)	인도	country	제17회 세계 배드민턴 선수권 대회는 세계 배드민턴 연맹 주관으로 2009년 8월 10일에서 16일까지  << _obj_ >>   << _sbj_ >> 에서 열린 국제 배드민턴 대회이다.
오클라호마_주	미국	country	  << _obj_ >> 의 네브래스카 주, 노스다코타 주, 뉴멕시코 주, 몬태나 주, 사우스다코타 주,  << _sbj_ >> , 와이오밍 주, 캔자스 주, 콜로라도 주, 텍사스 주와 캐나다의 매니토바 주, 서스캐처원 주, 앨버타 주에 걸쳐있다.
사오싱_시	중화인민공화국	country	 2002년에는 대한민국 부산광역시에서, 2006년에는  << _obj_ >>  푸젠 성 샤먼 시에서, 2010년에는 중화인민공화국 저장 성  << _sbj_ >> 에서 합창 올림픽을 개최한 기록이 있었다.
사할린_섬	러시아	country	 동쪽으로 일본의 도호쿠 지방, 홋카이도와  << _obj_ >> 의  << _sbj_ >> , 서쪽으로 한반도의 함경북도, 함경남도, 강원도, 경상북도, 경상남도, 전라남도, 제주특별자치도, 남쪽으로 일본의 혼슈, 북쪽으로는 러시아의 프리모르스키 지방에 둘러싸여 있다.
케임브리지_대학교	영국	country	스티븐 윌리엄 호킹은 2009년까지  << _sbj_ >>  루커스 수학 석좌 교수로 재직한  << _obj_ >> 의 이론물리학자이다.
친황다오_시	중화인민공화국	country	진산 철로는 톈진 시와 허베이 성  << _sbj_ >>  산하이관 구를 연결하는,  << _obj_ >> 의 철도 노선이다.
뉘른베르크	독일	country	뉘른베르크 지하철은  << _obj_ >>   << _sbj_ >> 를 주행하는 지하철이다.
유희관	두산_베어스	team	 시리즈 MVP는  << _obj_ >> 의  << _sbj_ >> 이 차지했다.
큐_(런던)	영국	country	큐 왕립식물원은  << _obj_ >> 의 수도 런던 남서부의  << _sbj_ >> 에 있는 왕립식물원이다.
아이언맨_(영화)	테런스_하워드	starring	 배우 또한  << _sbj_ >> 에서는  << _obj_ >> 가 연기했으나, 아이언맨 2부터는 돈 치들이 연기했다.
조선_숙종	조선_경종	successor	유학의 일파인 양명학을 수학하여 학문적으로 강화학파를 구성하고, 정치적으로 소위 소론이라는 정치집단에 참여하여  << _sbj_ >> ,  << _obj_ >> , 조선 영조, 조선 정조때 노론의 패권주의, 부정부패에 대항하여 활약한 14 혹은 15 명의 관료 정치인이면서 동시에 지식인들을 일컫는다.
칼리_(콜롬비아)	콜롬비아	country	 1992년 12월에 에콰도르와  << _obj_ >> 와 노선통합 협정에 서명하면서 에스메랄다스 와  << _sbj_ >> 를 잇는 노선을 신설했다.
아마존_우림	볼리비아	country	  << _obj_ >> 와 브라질, 콜롬비아 그리고 페루의 상록  << _sbj_ >> 에서 발견된다.
북구_(울산광역시)	대한민국	country	송정초등학교는 울산광역시  << _sbj_ >>  화봉동에 있는  << _obj_ >> 의 공립 초등학교이다.
사와무라_히로카즈	요미우리_자이언츠	team	 이 가운데 스가노는 도카이 대학의 야구부 감독인 하라 미쯔구의 손자이며 숙부가 하라 다쓰노리  << _obj_ >>  감독이기 때문에 요미우리가 지명을 할 것이라는 소문이 공공연하게 나돌았으며, 이전 년도의  << _sbj_ >> 처럼 단독 지명이 확실시되었다.
조선_태종	조선_세종	child	원래의 위치는 전주시 풍남동이었으나, 이곳 남쪽에  << _sbj_ >>  10년에 조선 태조의 어진을 봉안하는 경기전이 지어지고,  << _obj_ >>  23년 "글 외고 읽는 소리, 회초리를 치는 소리 등이 시끌벅적하여 끊이지 않으므로 태조의 영령을 편안히 모실 수 없다"는 이유로 전주성 서쪽으로 6, 7리 떨어진 황학대 아래, 지금의 신흥중고등학교 부지로 옮겨 지었다.
하시모토_류타로	오부치_게이조	successor	 자유민주당 의 다나카 파벌에도 영향력이 컸는데, 당시 다나카파의 중진·신진 의원이었던  << _sbj_ >> 나  << _obj_ >> , 하다 쓰토무, 오자와 이치로 등은 그녀를 정계에서 어머니과 같다고 하며, 파벌이 갈린 후에도 “마마”라 부르며 그리워했다.
후지나미_신타로	한신_타이거스	team	한편 작년에 닛폰햄의 지명을 받았으나 입단을 거부하고 도카이 대학에서 일년을 재수한 스가노 도모유키는 요미우리 자이언츠의 단독 지명을 받았고, 2012년 봄·여름 고시엔 대회를 제패한 오사카 도인 고등학교의 주전투수인  << _sbj_ >> 는 한신, 오릭스 등 4개 구단에서 중복 지명을 받아 결국  << _obj_ >> 가 교섭권을 획득했다.
횡성군	대한민국	country	횡성시외버스터미널은 강원도   << _sbj_ >>  횡성읍 횡성로 379 에 위치한  << _obj_ >> 의 시외버스터미널이다.
사미_케디라	유벤투스_FC	team	 그의 형은  << _obj_ >>  소속으로 뛰고 있는 독일의 축구 선수인  << _sbj_ >> 이며 튀니지인 아버지와 독일인 어머니 사이에서 태어났다.
아산시	대한민국	country	봉수산은  << _obj_ >> 의 충청남도 예산군 대술면과  << _sbj_ >>  송악면, 공주시 유구읍 경계에 있는 산이다.
나라_현	일본	country	오미네 산은  << _obj_ >>   << _sbj_ >> 에 있는 산이며, 높이는 1천915m이다.
지치부_시	일본	country	가사토리 산은  << _obj_ >>  사이타마 현  << _sbj_ >> 와 야마나시 현 고슈 시 사이에 있는 높이 1천953m의 산이다.
하울링_(2012년_영화)	이나영	starring	 2001년에는 아마미 유키 주연으로, 2010년에는 기무라 요시노 주연으로 각각 드라마화되었으며, 2012년에는 대한민국에서 송강호,  << _obj_ >>  주연으로 《 << _sbj_ >> 》이라는 제목으로 영화화되었다.
시즈오카_현	일본	country	 후배들의 지도를 위해  << _obj_ >> 을 방문했다가 2013년 7월 10일 일본  << _sbj_ >> 에서 골프 라운드 도중 심장마비로 세상을 떠났다.
와다_쓰요시	후쿠오카_소프트뱅크_호크스	team	 2006년 9월 16일  << _obj_ >> 전에서는 8회초 1사 상황에서 그동안 무실점으로 막아내고 있던  << _sbj_ >> 로부터 동점 솔로 홈런을 때려내는 등 경기를 무승부로 만들었고 같은 달 24일의 사이타마 세이부 라이온스전에서는 선발이 아닌 경기 도중 출장이었지만 2개의 적시타를 때려내 팀 승리로 이끄는 등 종반에 상위 팀의 우승 전선을 흔들어놓는 활약도 빛났다.
대한민국_중앙정보부	대한민국_국가안전기획부	successor	국가안전기획부 운영차장실 또는 운영차장보실은  << _sbj_ >> 와  << _obj_ >> 의 예하 기관으로 대한민국 중앙정보부와 안기부의 인사, 예산 운영, 편성 등을 하였다.
비보발렌티아_현	이탈리아	country	세라산브루노는  << _obj_ >>  칼라브리아 주  << _sbj_ >> 에 위치한 도시이다.
서재필	뮤리엘_제이슨	child	  << _sbj_ >>  사후 화가였던 둘째 딸  << _obj_ >> 이 살았고 만년에는 그의 언니이자 서재필의 다른 딸 스테파니 보이드 제이슨도 이곳에서 함께 여생을 보냈다.
FIFA_월드컵	FIFA	country	 카탈루냐 축구 연맹이  << _obj_ >> 와 UEFA에 소속되어 있지 않기 때문에,  << _sbj_ >> 이나 UEFA 유럽 축구 선수권 대회를 비롯한 국제 대회에 참가할 수 없다.
할렘	미국	country	슈거힐은  << _obj_ >>  뉴욕 주 뉴욕 맨해튼 북부  << _sbj_ >>  서쪽에 있는 지역 이름의 통칭이다.
야마가타_아리토모	이토_히로부미	successor	 1900년 9월 15일에 입헌정우회가 결성되면서 일본의 내각총리대신  << _sbj_ >> 가 창당 직후의 입헌정우회를 흔들기 위해서 총재에 취임한  << _obj_ >> 에게 강제로 정권을 강요하는 형태로 성립하였다.
샤프_(기업)	일본	country	아쿠오스 폰 SHL22는 2013년 7월 하순,  << _sbj_ >> 의 << _obj_ >>  국내용으로 출시되는 스마트폰이다.
모창민	NC_다이노스	team	 5월 23일에도 이재학 의 호투와 권희동의 솔로포,  << _sbj_ >> 의  << _obj_ >>  창단 첫 연타석 홈런으로 SK 와이번스를 6-2로 꺾고 승리하였다.
카르타고	튀니지	country	고대 카르타고는 기원전 814년경에 현재의  << _obj_ >>  영토에 세워진 북아프리카의 도시국가  << _sbj_ >> 를 중심으로 발전한 셈족 문명이다.
육영수	박근혜	child	 박정희의 부인  << _sbj_ >> 의 작은할아버지이며,  << _obj_ >> 의 외종증조부가 된다.
육영수	박근혜	child	 또한 대한민국에서는 1974년 8월 15일 박정희 대통령의 부인인  << _sbj_ >>  여사가 총상으로 사망하자 대통령의 딸인  << _obj_ >> 가 퍼스트 레이디 대행을 박정희 대통령이 총상으로 사망할 때까지 수행하였다.
육영수	박근혜	successor	 박정희의 부인  << _sbj_ >> 의 작은할아버지이며,  << _obj_ >> 의 외종증조부가 된다.
육영수	박근혜	successor	 또한 대한민국에서는 1974년 8월 15일 박정희 대통령의 부인인  << _sbj_ >>  여사가 총상으로 사망하자 대통령의 딸인  << _obj_ >> 가 퍼스트 레이디 대행을 박정희 대통령이 총상으로 사망할 때까지 수행하였다.
밤의_열기_속으로_(1985년_영화)	장길수	director	1985년  << _sbj_ >>  = 감독  << _obj_ >>
연산일기	임권택	director	1988년  << _sbj_ >>  = 감독  << _obj_ >>
비슈케크	키르기스스탄	country	키르기스스탄 국립대학교는  << _obj_ >>   << _sbj_ >> 에 위치한 대학교이다.
베를린_장벽	동독	country	 특히  << _obj_ >> 은 1961년에  << _sbj_ >> 을 만들기 전까지 많은 사람들이 서독으로 갔기 때문에 1961년까지 인구가 크게 줄어들었다.
상트르발드루아르	프랑스	country	오를레앙은  << _obj_ >> 의 도시이며  << _sbj_ >>  레지옹과 루아레 주의 중심 도시이다.
쇼이쿠_왕	쇼타이_왕	child	쇼하시 왕 → 쇼추 왕 → 쇼시들 →  → 쇼엔 왕 → 쇼센 왕 → 쇼신 왕 → 중략 →  << _sbj_ >>  →  << _obj_ >>
쇼이쿠_왕	쇼타이_왕	successor	쇼하시 왕 → 쇼추 왕 → 쇼시들 →  → 쇼엔 왕 → 쇼센 왕 → 쇼신 왕 → 중략 →  << _sbj_ >>  →  << _obj_ >>
알래스카_주	미국	country	그러나 아시아의 동쪽 끝인 시베리아의 축치 반도와  << _obj_ >> 의  << _sbj_ >> 에 속해 있는 알류샨 열도는 이 기준선의 양쪽에 걸쳐 있기 때문에 축치 반도 쪽의 날짜 변경선은 동쪽으로 경도 10도 이상 꺾여 베링 해협을 지나고, 알류샨 열도에서는 서쪽으로 경도 10도 가까이 꺾여 있다.
J리그	일본	country	그는 2008-09 시즌이 끝나자 자유 계약으로 스페인 프리메라리가의 RCD 에스파뇰으로 이적하였으나 리그에 적응하지 못하며 주전 경쟁에서 밀리게 되었고, 2010년 2월 자신의 친정팀인  << _sbj_ >> 의 요코하마 F. 마리노스로 이적하여  << _obj_ >>  무대로 복귀하였다.
마이_웨이_(2011년_영화)	판빙빙	starring	2010년 10월부터 강제규 감독의  << _sbj_ >>  촬영중. 장동건,  << _obj_ >>  등과 함께 출연.
타스쿠얼간_타지크_자치현	중화인민공화국	country	카라코람 회랑은  << _obj_ >> 이 실효 지배하여 예청 현과  << _sbj_ >> 에 편재된 지역으로 인도와의 영토 분쟁 지역이다.
김영삼	이회창	successor	 한편 미림팀의 도청은  << _sbj_ >> 과 정치적으로 갈등하던  << _obj_ >>  등에게도 불이익이 가해졌다.
마오쩌둥	저우언라이	successor	  << _obj_ >>  총리는 한국전쟁에서 붙잡은 미국 공군 조종사 등 고위급 포로 11명을 넘기는 '빅딜'을 통해 1955년에 첸 박사를 귀국시켰고,  << _sbj_ >> 은 첸 박사에게 로켓과 미사일 개발에 관한 전권을 줘 '양탄일성' 개발을 이끌어냈다.
베네치아	이탈리아	country	물이 많아 축복받은 아름다운 나라.  << _obj_ >> 의  << _sbj_ >> 가 모티브.
신륵사	경기도	country	여주 신륵사 보제존자석종비는  << _obj_ >>  여주시,  << _sbj_ >>  사찰에 있는 고려시대의 비석이다.
박종찬	수원_FC	team	  << _sbj_ >> 과 함께  << _obj_ >> 의 전설적인 선수들 중 한 명으로 꼽힌다.
만포시	조선민주주의인민공화국	country	송삼역은  << _obj_ >>  자강도  << _sbj_ >> 에 위치한 북부철길의 역이다.
리카르도_알바레스	UC_삼프도리아	team	 코바치치는 2-0으로 이긴  << _obj_ >> 와의 다음 세리에 A 원정 경기에 출전했고, 주세페 메아차에서 3-4 충격패를 당한 아탈란타 BC전에도 출전해  << _sbj_ >> 의 골을 도왔다.
산마리노_(도시)	산마리노	country	SP 트레 펜네는  << _sbj_ >> 를 연고로 하는  << _obj_ >> 의 축구팀이다.
동화사	대구광역시	country	대구 동화사 비로암 석조비로자나불좌상은  << _obj_ >>  동구 ,  << _sbj_ >>  사찰에 있는 통일신라의 불상이다.
윤지웅	LG_트윈스	team	 이에  << _obj_ >> 에서는 보상 선수로 경찰 야구단 입대가 확정된 좌투  << _sbj_ >> 을 지명했다.
KBO_리그	KIA_타이거즈	team	한기주는  << _sbj_ >>   << _obj_ >> 의 투수이다.
프랑수아_미테랑	자크_시라크	successor	드골의 퇴진 후 1969년 9월 조르주 퐁피두 총리가 제2대 대통령에 당선되었으나 1974년 급서했으며, 1974년에 발레리 지스카르데스탱이 제3대 대통령에, 1981년 5월 사회당의  << _sbj_ >> 이 제21대 대통령에, 1995년에는 신 드골주의자  << _obj_ >> 가 제22대 대통령에 취임했으며 2007년 5월에는 니콜라 사르코지가 제23대 대통령에 당선되었다.
연남건	고구려	country	 문무왕 4년 7월에 문무왕의 명으로 장군 김인문·김품일 등과 함께 일선·한산 2주의 군사를 거느리고 웅진도독부와 함께  << _obj_ >> 의 돌사성을 쳐서 함락시켰으며, 문무왕 8년에 대아찬으로서 아찬 복세와 함께 비열성주행군총관으로 임명되어 고구려 공격에 나섰고, 이때 평양 근교의 사천 벌판에서 고구려의 태대막리지  << _sbj_ >> 의 군사와 교전하여 대승을 거두었다.
일본_프로_야구	요미우리_자이언츠	team	에가와 사건은 1978년  << _sbj_ >>  드래프트 회의 전날에 프로 야구 센트럴 리그 팀인  << _obj_ >> 와 전격으로 입단 계약을 맺은 에가와 스구루의 거취를 둘러싼 일련의 소동이다.
무냐노디나폴리	이탈리아	country	라파엘레 팔라디노는  << _obj_ >>   << _sbj_ >>  출신의 이탈리아 축구 선수로서 포지션은 공격수이다.
재팬_뉴스_네트워크	일본	country	《TAKE FIVE~우리는 사랑을 훔칠 수 있을까~》는, 2013년 4월 19일부터 6월 22일까지 도쿄 방송 홀딩스  << _sbj_ >> 의 TBS 금요드라마 시간대에서 방송된  << _obj_ >> 의 일본 드라마이다.
샤를루아	벨기에	country	1894년 7월 17일  << _obj_ >>   << _sbj_ >> 에서 태어났다.
경북대학교	대한민국	country	이열희는  << _obj_ >> 의 의학 교육자, 치과 의사, 구강 성형외과 의사, 대학 교수 및 예비역 대한민국 육군 대위이자  << _sbj_ >>  치의과대학 창립 멤버의 한 사람이며, 치과, 악안면외과 전문의였다.
이와테_현	일본	country	히라이즈미는,  << _obj_ >>   << _sbj_ >>  남서부에 있는 옛 지명으로 오늘날의 히라이즈미 정의 중심부에 해당한다.
조지_4세	윌리엄_4세	successor	 에른스트 아우구스트는  << _sbj_ >> 와  << _obj_ >> 의 동생으로서, 조지 3세의 당시까지 생존한 아들들 중 가장 연장자였다.
노태우	대한민국	country	한민족공동체통일방안은 1989년 9월 11일  << _obj_ >> 의 대한민국 국회에서  << _sbj_ >>  대통령 특별선언을 통해 발표되었다.
안도라라베야	안도라	country	루시타노스는  << _sbj_ >> 를 연고로 하는  << _obj_ >> 의 축구팀이다.
주오_구_(삿포로_시)	일본	country	삿포로 TV탑은  << _obj_ >>  홋카이도 삿포로 시  << _sbj_ >> 에 있는 지상 147.2미터의 텔레비전 전파탑이다.
솔즈베리_(메릴랜드_주)	미국	country	솔즈베리 대학교는  << _obj_ >>  메릴랜드 주  << _sbj_ >> 에 위치한 공립 대학교이다.
헨리_2세	리처드_1세	child	 15살 되던 1173년 친형 청년왕 헨리, 사자심왕  << _obj_ >> 와 함께 아버지  << _sbj_ >> 에 대한 반란을 일으켰다가 실패했다.
헨리_2세	리처드_1세	child	아버지  << _sbj_ >>  사후 동생들인  << _obj_ >> 와 존 이 차례로 영국의 군주위에 올랐다.
헨리_2세	리처드_1세	child	 아키텐 공작 기욤 10세 의 딸로 태어나 여상속자가 되었고, 프랑스 왕 루이 7세의 왕비였으며, 잉글랜드 왕  << _sbj_ >> 의 왕비이고, 헨리 2세의 아들 잉글랜드의  << _obj_ >> 와 존 을 낳은 모후이기도 하다.
헨리_2세	리처드_1세	successor	 15살 되던 1173년 친형 청년왕 헨리, 사자심왕  << _obj_ >> 와 함께 아버지  << _sbj_ >> 에 대한 반란을 일으켰다가 실패했다.
헨리_2세	리처드_1세	successor	아버지  << _sbj_ >>  사후 동생들인  << _obj_ >> 와 존 이 차례로 영국의 군주위에 올랐다.
헨리_2세	리처드_1세	successor	 아키텐 공작 기욤 10세 의 딸로 태어나 여상속자가 되었고, 프랑스 왕 루이 7세의 왕비였으며, 잉글랜드 왕  << _sbj_ >> 의 왕비이고, 헨리 2세의 아들 잉글랜드의  << _obj_ >> 와 존 을 낳은 모후이기도 하다.
사마염	서진_혜제	child	 위 의 통사랑 양병 의 딸이자  << _sbj_ >> 의 첫 번째 황후가 되며,  << _obj_ >> 의 어머니이다.
사마염	서진_혜제	child	 그러나  << _sbj_ >> 은 태자  << _obj_ >> 을 생각하고 있었기에 이를 못마땅하게 여겼다.
사마염	서진_혜제	successor	 위 의 통사랑 양병 의 딸이자  << _sbj_ >> 의 첫 번째 황후가 되며,  << _obj_ >> 의 어머니이다.
사마염	서진_혜제	successor	 그러나  << _sbj_ >> 은 태자  << _obj_ >> 을 생각하고 있었기에 이를 못마땅하게 여겼다.
벨라조	이탈리아	country	 호텔 이름은  << _obj_ >> 의 도시  << _sbj_ >> 에서 유래하였다.
연애소설_(영화)	손예진	starring	제작진은 김희선을 여주인공 1순위로 생각했으나 CF 스케줄 등의 이유로 포기하자  << _obj_ >> 을 2순위로 낙점시켰지만 영화  << _sbj_ >>  촬영 문제로 거절했고 우여곡절 끝에 장나라가 대타로 들어갔다.
즐라탄_이브라히모비치	AC_밀란	team	전성기 시절의 체중으로 돌아간 그에게 당시 호비뉴와  << _sbj_ >> 를 영입하며 연봉 규모를 줄여야 하는 처지인  << _obj_ >> 이 연봉의 50%를 삭감하여 재계약을 제의하자 거절하였다.
마리아_(예수의_어머니)	예수	child	푸른색:  << _sbj_ >> 를  << _obj_ >> 의 어머니로 공경하는 축일에 사용가능함.
윤웅렬	윤치왕	child	  << _sbj_ >> 의 아들  << _obj_ >> 과 윤영렬의 아들 윤치영, 윤영렬의 손자인 윤일선과 윤보선 등이 전동장에서 출생하였다.
조선_세종	조선_문종	successor	 따라서  << _sbj_ >> 의 처남이며  << _obj_ >> , 조선 세조에게는 외숙부가 된다.
중앙대학교	대한민국	country	이용구는  << _obj_ >> 의 경제학자이자  << _sbj_ >>  총장인 교육자이다.
